Account_Number,Credit_Score,Eligibility,Final_Decision
10352289293,260,False,Accept
10931763676,280,True,Accept
10183092979,270,True,Accept
10610024806,270,True,Accept
10211788606,270,True,Accept
10189279280,220,False,Accept
10388737316,300,True,Accept
10442902138,170,False,Accept
10676694687,230,False,Accept
10719605538,270,True,Accept
10603296481,300,True,Accept
10053907748,260,False,Accept
10672856307,270,True,Accept
10750175655,240,False,Accept
10722694289,270,True,Accept
10264208588,230,False,Accept
10676991160,300,True,Accept
10271362797,260,False,Accept
10090744439,270,True,Accept
10941000347,280,True,Accept
10440864430,290,True,Accept
10579128377,240,False,Decline
10558664691,270,True,Accept
10439077312,230,False,Accept
10432070716,280,True,Accept
10447819344,270,True,Accept
10157593016,230,False,Accept
10518209991,250,False,Accept
10797842982,300,True,Accept
10254910878,250,False,Accept
10310176042,260,False,Accept
10144255298,270,True,Accept
10800184090,290,True,Accept
10160983771,270,True,Accept
10273567053,300,True,Accept
10341750219,220,False,Accept
10138112470,310,True,Accept
10231448493,250,False,Accept
10546159967,230,False,Accept
10751752960,290,True,Accept
10315752090,220,False,Accept
10867938262,260,False,Accept
10744933417,310,True,Accept
10386224790,250,False,Accept
10103927358,210,False,Accept
10601959891,260,False,Accept
10415076172,260,False,Accept
10356214463,280,True,Accept
10506134968,290,True,Accept
10704754168,290,True,Accept
10139189946,310,True,Accept
10576716236,240,False,Accept
10575392833,300,True,Accept
10364656861,270,True,Accept
10000769019,230,False,Accept
10405148003,310,True,Accept
10806054885,260,False,Accept
10337722798,220,False,Accept
10395268483,280,True,Accept
10434257302,220,False,Accept
10874363852,300,True,Accept
10119741132,300,True,Accept
10656117024,280,True,Accept
10433109342,310,True,Accept
10922523039,300,True,Accept
10049268931,280,True,Accept
10664486874,300,True,Accept
10404910951,250,False,Accept
10342277853,270,True,Accept
10999269980,310,True,Accept
10477229458,310,True,Accept
10969360203,310,True,Accept
10579204861,230,False,Accept
10472942484,280,True,Accept
10334996738,250,False,Accept
10658270506,250,False,Accept
10028132775,220,False,Accept
10208618599,220,False,Decline
10501777521,280,True,Accept
10385006332,310,True,Accept
10542965419,270,True,Accept
10856980398,240,False,Accept
10563932881,240,False,Accept
10643640910,210,False,Accept
10839202977,220,False,Decline
10174755306,300,True,Accept
10920053143,300,True,Accept
10990132153,300,True,Accept
10787627812,260,False,Accept
10086280196,330,True,Accept
10723840257,270,True,Accept
10979104977,240,False,Accept
10395864217,290,True,Accept
10109638664,260,False,Accept
10178772949,290,True,Accept
10659118397,240,False,Accept
10536512663,260,False,Accept
10670462668,270,True,Accept
10906227311,300,True,Accept
10992851648,310,True,Accept
10875396325,240,False,Decline
10225792913,250,False,Accept
10013026947,270,True,Accept
10486336665,290,True,Accept
10098150472,220,False,Accept
10171500868,270,True,Accept
10058123904,270,True,Accept
10884551946,290,True,Accept
10871595439,300,True,Accept
10694725648,310,True,Accept
10654988839,190,False,Decline
10229855571,300,True,Accept
10023899402,220,False,Accept
10874176245,330,True,Accept
10401314962,250,False,Accept
10193177336,290,True,Accept
10174344979,270,True,Accept
10479459931,270,True,Accept
10773225456,280,True,Accept
10788732570,320,True,Accept
10674268754,240,False,Accept
10953104893,260,False,Accept
10459086004,220,False,Accept
10457052868,260,False,Accept
10528956064,240,False,Decline
10807157329,240,False,Accept
10129852739,260,False,Accept
10422985249,200,False,Accept
10003013845,210,False,Accept
10234801249,260,False,Accept
10088346448,300,True,Accept
10022072410,270,True,Accept
10316556902,200,False,Accept
10427388733,270,True,Accept
10835195249,220,False,Accept
10107237595,220,False,Accept
10291533477,270,True,Accept
10093217299,270,True,Accept
10486115401,300,True,Accept
10475637660,250,False,Accept
10200074691,220,False,Accept
10761606105,260,False,Accept
10971445534,270,True,Accept
10846229985,250,False,Accept
10457928166,270,True,Accept
10430274606,220,False,Accept
10517949803,310,True,Accept
10113488338,220,False,Accept
10501317222,240,False,Accept
10988723286,280,True,Accept
10482370532,280,True,Accept
10633543738,270,True,Accept
10215959828,310,True,Accept
10118528727,270,True,Accept
10596511087,300,True,Accept
10822564196,300,True,Accept
10749137567,290,True,Accept
10398953946,280,True,Accept
10074416469,190,False,Decline
10447646775,190,False,Accept
10407836796,220,False,Decline
10779927011,260,False,Accept
10717979931,290,True,Accept
10846845158,270,True,Accept
10908497953,230,False,Accept
10820131801,280,True,Accept
10721358253,210,False,Accept
10232512098,200,False,Decline
10095498206,290,True,Accept
10746999149,260,False,Accept
10254856355,230,False,Accept
10286644827,240,False,Accept
10883766355,210,False,Accept
10137074643,270,True,Accept
10377322032,280,True,Accept
10403114206,280,True,Accept
10398098820,310,True,Accept
10789800505,300,True,Accept
10519363521,220,False,Accept
10924967018,260,False,Accept
10361221661,300,True,Accept
10838255332,210,False,Accept
10943226692,310,True,Accept
10989506499,270,True,Decline
10125983316,310,True,Accept
10727935172,320,True,Decline
10614029987,310,True,Accept
10596778442,240,False,Accept
10414289142,210,False,Decline
10028552436,290,True,Accept
10792470153,320,True,Accept
10848898504,310,True,Accept
10725784412,210,False,Accept
10828130187,270,True,Accept
10435690404,280,True,Accept
10629786010,270,True,Accept
10918676841,270,True,Accept
10297664048,290,True,Accept
10201916787,290,True,Accept
10078445876,250,False,Accept
10708900855,220,False,Decline
10293553854,300,True,Accept
10529112722,250,False,Accept
10118250394,300,True,Accept
10695966817,280,True,Accept
10964194273,280,True,Accept
10837569028,200,False,Accept
10840341664,210,False,Accept
10431959463,320,True,Accept
10102511504,280,True,Accept
10193510667,280,True,Accept
10885093308,220,False,Accept
10403636045,260,False,Accept
10338113283,260,False,Accept
10785882652,230,False,Accept
10266910189,260,False,Accept
10005357664,320,True,Accept
10309995109,320,True,Accept
10659616067,240,False,Accept
10459027196,260,False,Accept
10480718879,300,True,Accept
10150163731,260,False,Accept
10283607160,270,True,Accept
10380819166,230,False,Decline
10494582754,280,True,Accept
10155268893,270,True,Accept
10601837508,240,False,Accept
10520094319,300,True,Accept
10334938547,280,True,Accept
10584317157,290,True,Accept
10347725120,220,False,Accept
10381268509,300,True,Accept
10080794427,230,False,Accept
10449415046,270,True,Accept
10899334490,220,False,Accept
10994296282,270,True,Accept
10234931164,330,True,Accept
10563885620,300,True,Accept
10954413783,230,False,Accept
10943827762,280,True,Accept
10674268634,290,True,Accept
10902302086,290,True,Accept
10076784815,260,False,Accept
10123275352,220,False,Accept
10133262781,260,False,Accept
10446755140,210,False,Accept
10567687353,250,False,Accept
10124172197,220,False,Accept
10361894448,280,True,Accept
10544036480,220,False,Decline
10561954220,270,True,Accept
10764273695,310,True,Accept
10749286438,200,False,Accept
10598844372,290,True,Accept
10195973764,270,True,Accept
10557663064,310,True,Accept
10818818773,210,False,Accept
10140435147,240,False,Accept
10241533291,260,False,Accept
10706202628,280,True,Accept
10396224990,210,False,Accept
10585327620,170,False,Accept
10043454005,230,False,Accept
10471805170,260,False,Accept
10402247237,280,True,Accept
10829804717,230,False,Decline
10742529629,230,False,Accept
10170989079,310,True,Accept
10312571398,220,False,Accept
10075821791,300,True,Accept
10812321003,240,False,Accept
10669629598,300,True,Accept
10499590011,300,True,Accept
10427509711,260,False,Accept
10304540353,280,True,Accept
10850996279,320,True,Accept
10464033351,200,False,Accept
10965352394,300,True,Accept
10926925485,260,False,Accept
10743653079,280,True,Decline
10676447965,240,False,Accept
10627076866,250,False,Accept
10713148039,220,False,Accept
10473955415,200,False,Accept
10875281422,200,False,Accept
10876498723,270,True,Accept
10109416361,240,False,Accept
10800368891,220,False,Accept
10833009674,290,True,Accept
10150238155,290,True,Accept
10577611766,210,False,Accept
10576680545,270,True,Accept
10921686612,220,False,Accept
10268953009,200,False,Accept
10630594366,280,True,Accept
10470061284,230,False,Decline
10016354169,280,True,Accept
10640551137,220,False,Accept
10587332333,300,True,Accept
10537099277,220,False,Accept
10245628022,290,True,Accept
10303857720,290,True,Accept
10415351249,320,True,Accept
10231994295,220,False,Accept
10112134511,270,True,Accept
10752901766,250,False,Accept
10271644079,260,False,Accept
10843132941,310,True,Accept
10663405842,280,True,Accept
10920292759,290,True,Accept
10723488650,230,False,Decline
10052723684,280,True,Accept
10664638332,230,False,Accept
10375340315,220,False,Accept
10410201334,260,False,Accept
10749068235,240,False,Decline
10466775898,270,True,Accept
10619340932,220,False,Accept
10997738076,270,True,Accept
10567776015,270,True,Accept
10408284489,250,False,Accept
10267493408,260,False,Accept
10923168943,260,False,Accept
10729158339,270,True,Accept
10592388648,250,False,Accept
10386290610,250,False,Accept
10676837219,280,True,Accept
10599840368,270,True,Accept
10725928737,300,True,Accept
10285340855,300,True,Accept
10262026115,220,False,Accept
